"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
26,,79878.500000,79998.820035,0,57,0,0,yes,1.000000
25,,167.921300,171.516000,0,3,0,0,yes,1.000000
24,,417.253680,418.683000,0,19,0,0,yes,1.000000
23,,222.771060,226.194000,0,17,0,0,yes,1.000000
22,,94.149760,98.884300,0,11,0,0,yes,1.000000
21,,50.430578,56.350100,0,9,0,0,yes,1.000000
20,,4000.000000,10000.000000,0,1,0,0,yes,1.000000
19,,16000.000000,20000.000000,0,2,0,0,yes,1.000000
18,,6000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,30000.000000,50000.000000,0,4,0,0,yes,1.000000
16,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,22000.000000,50000.000000,0,3,0,0,yes,1.000000
14,,34000.000000,90000.000000,0,7,0,0,yes,1.000000
13,,14000.000000,20000.000000,0,1,0,0,yes,1.000000
12,,8000.000000,10000.000000,0,1,0,0,yes,1.000000
11,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,3054000.000000,6170000.000000,0,1,0,0,yes,1.000000
8,,311726000.000000,332500000.000000,0,16,0,0,yes,1.000000
7,,283046000.000000,615360000.000000,0,16,0,0,yes,1.000000
6,,21938000.000000,25120000.000000,0,8,0,0,yes,1.000000
5,,3452000.000000,7520000.000000,0,4,0,0,yes,1.000000
4,,2916000.000000,3730000.000000,0,7,0,0,yes,1.000000
3,,3426000.000000,3930000.000000,0,2,0,0,yes,1.000000
2,,34816000.000000,48620000.000000,0,5,0,0,yes,1.000000
1,,158276000.000000,264910000.000000,0,11,0,0,yes,1.000000
