"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
26,,79878.500000,80141.860999,0,58,0,0,yes,1.000000
25,,167.921300,171.516000,0,3,0,0,yes,1.000000
24,,417.253680,429.791000,0,19,0,0,yes,1.000000
23,,222.771060,228.366000,0,18,0,0,yes,1.000000
22,,94.149760,97.147900,0,11,0,0,yes,1.000000
21,,50.430578,53.590900,0,9,0,0,yes,1.000000
20,,4000.000000,10000.000000,0,1,0,0,yes,1.000000
19,,16000.000000,20000.000000,0,2,0,0,yes,1.000000
18,,6000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,30000.000000,30000.000000,0,3,0,0,yes,1.000000
16,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,22000.000000,60000.000000,0,4,0,0,yes,1.000000
14,,34000.000000,50000.000000,0,3,0,0,yes,1.000000
13,,14000.000000,20000.000000,0,1,0,0,yes,1.000000
12,,8000.000000,20000.000000,0,1,0,0,yes,1.000000
11,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,3054000.000000,4340000.000000,0,3,0,0,yes,1.000000
8,,311726000.000000,377070000.000000,0,12,0,0,yes,1.000000
7,,283046000.000000,580360000.000000,0,15,0,0,yes,1.000000
6,,21938000.000000,26040000.000000,0,4,0,0,yes,1.000000
5,,3452000.000000,4010000.000000,0,4,0,0,yes,1.000000
4,,2916000.000000,5390000.000000,0,10,0,0,yes,1.000000
3,,3426000.000000,10870000.000000,0,3,0,0,yes,1.000000
2,,34816000.000000,38820000.000000,0,4,0,0,yes,1.000000
1,,158276000.000000,394860000.000000,0,17,0,0,yes,1.000000
