"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
26,,79878.500000,79922.662724,0,54,0,0,yes,1.000000
25,,167.921300,168.378000,0,3,0,0,yes,1.000000
24,,417.253680,426.305000,0,19,0,0,yes,1.000000
23,,222.771060,223.391000,0,17,0,0,yes,1.000000
22,,94.149760,94.557500,0,11,0,0,yes,1.000000
21,,50.430578,50.896300,0,8,0,0,yes,1.000000
20,,4000.000000,10000.000000,0,1,0,0,yes,1.000000
19,,16000.000000,20000.000000,0,2,0,0,yes,1.000000
18,,6000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,30000.000000,30000.000000,0,3,0,0,yes,1.000000
16,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,22000.000000,50000.000000,0,3,0,0,yes,1.000000
14,,34000.000000,70000.000000,0,5,0,0,yes,1.000000
13,,14000.000000,20000.000000,0,1,0,0,yes,1.000000
12,,8000.000000,10000.000000,0,1,0,0,yes,1.000000
11,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,3054000.000000,6170000.000000,0,1,0,0,yes,1.000000
8,,311726000.000000,362520000.000000,0,15,0,0,yes,1.000000
7,,283046000.000000,361150000.000000,0,13,0,0,yes,1.000000
6,,21938000.000000,50510000.000000,0,8,0,0,yes,1.000000
5,,3452000.000000,3950000.000000,0,5,0,0,yes,1.000000
4,,2916000.000000,5920000.000000,0,9,0,0,yes,1.000000
3,,3426000.000000,3930000.000000,0,2,0,0,yes,1.000000
2,,34816000.000000,41240000.000000,0,3,0,0,yes,1.000000
1,,158276000.000000,257380000.000000,0,12,0,0,yes,1.000000
